Nazwa punktu pomiarowego,Grupa,Budynek,Klatka,Lokal,Właściciel,Lokalizacja,Uwagi,Mierzona wielkość,Typ urządzenia,Nr radiowy,Nr wodomierza,Alarmy,Objętość [m3] styczeń 2023,Objętość [m3] grudzień 2022,Objętość [m3] listopad 2022,Objętość [m3] październik 2022,Objętość [m3] wrzesień 2022,Objętość [m3] sierpień 2022,Objętość [m3] lipiec 2022,Objętość [m3] czerwiec 2022,Objętość [m3] maj 2022,Objętość [m3] kwiecień 2022,Objętość [m3] marzec 2022,Objętość [m3] luty 2022,Objętość [m3] styczeń 2022
3611225,Baza terminala z dnia 11.01.2023,Różana,36B,3,os.fizyczna,-,68711956,ZW,AT-WMBUS-16-2,3611225,68711956,,146.705,143.722,131.811,118.521,109.606,100.406,89.72,78.301,66.776,57.344,48.374,39.488,31.876
3615064,Baza terminala z dnia 11.01.2023,Różana,36B,4,os.fizyczna,-,68711954,ZW,AT-WMBUS-16-2,3615064,68711954,,99.323,97.587,90.899,83.688,76.84,70.997,64.544,58.059,52.715,46.03,40.546,34.469,28.488
3616195,Baza terminala z dnia 11.01.2023,Różana,36C,1,os.fizyczna,-,68712012,ZW,AT-WMBUS-16-2,3616195,68712012,,143.09,139.266,129.469,120.536,111.329,104.498,96.425,83.567,74.01,66.462,58.55,50.329,40.838
3609677,Baza terminala z dnia 11.01.2023,Różana,36C,2,os.fizyczna,-,68712009,ZW,AT-WMBUS-16-2,3609677,68712009,,103.684,101.7,93.253,86.942,83.802,78.581,72.836,64.406,58.84,53.492,45.657,38.975,32.167
3617122,Baza terminala z dnia 11.01.2023,Różana,36C,3,os.fizyczna,-,68711976,ZW,AT-WMBUS-16-2,3617122,68711976,,17.161,17.054,16.04,14.66,12.637,11.163,10.068,10.01,9.225,7.828,7.215,6.584,5.338
3616381,Baza terminala z dnia 11.01.2023,Różana,36C,4,os.fizyczna,-,68711961,ZW,AT-WMBUS-16-2,3616381,68711961,,20.162,20.162,19.751,15.775,15.772,15.773,15.643,13.237,13.175,13.074,9.741,9.742,9.742
3618872,Baza terminala z dnia 11.01.2023,Różana,36D,1,os.fizyczna,-,68712007,ZW,AT-WMBUS-16-2,3618872,68712007,,249.885,246.207,232.739,220.494,207.708,195.632,182.796,150.865,130.496,91.774,78.58,66.141,56.13
3618836,Baza terminala z dnia 11.01.2023,Różana,36D,2,os.fizyczna,-,68711967,ZW,AT-WMBUS-16-2,3618836,68711967,,203.184,199.283,184.744,171.623,159.156,147.33,136.151,123.202,108.965,95.194,81.292,67.296,53.234
3618738,Baza terminala z dnia 11.01.2023,Różana,36D,3,os.fizyczna,-,68711968,ZW,AT-WMBUS-16-2,3618738,68711968,,169.375,165.316,156.596,144.431,133.178,121.781,113.904,102.065,92.054,81.291,69.97,54.729,44.665
3596857,Baza terminala z dnia 11.01.2023,Różana,36D,4,os.fizyczna,-,68711975,ZW,AT-WMBUS-16-2,3596857,68711975,,83.844,82.116,77.222,72.193,67.294,61.585,56.027,49.492,45.286,39.203,34.126,28.469,22.819
3617969,Baza terminala z dnia 11.01.2023,Różana,36D,1 ogród,os.fizyczna,-,68712005,ZW,AT-WMBUS-16-2,3617969,68712005,,57.445,57.378,57.378,,,,,,,,,,
3615218,Baza terminala z dnia 11.01.2023,Różana,36E,1,os.fizyczna,-,68712013,ZW,AT-WMBUS-16-2,3615218,68712013,,196.437,190.996,177.079,164.109,150.963,138.478,126.518,107.331,94.338,85.75,74.58,62.502,51.538
3618757,Baza terminala z dnia 11.01.2023,Różana,36E,2,os.fizyczna,-,68711953,ZW,AT-WMBUS-16-2,3618757,68711953,,110.472,108.827,103.257,96.909,90.002,83.599,77.524,69.768,62.247,53.108,45.777,38.247,31.647
3617217,Baza terminala z dnia 11.01.2023,Różana,36E,3,os.fizyczna,-,68711958,ZW,AT-WMBUS-16-2,3617217,68711958,,195.148,191.351,178.25,164.502,150.445,135.655,124.531,115.937,102.038,88.803,76.692,63.028,52.689
3612318,Baza terminala z dnia 11.01.2023,Różana,36E,4,os.fizyczna,-,68712024,ZW,AT-WMBUS-16-2,3612318,68712024,,148.085,145.979,135.959,126.559,117.074,107.328,98.607,88.641,79.606,69.321,61.494,51.371,42.533
